,Time,Elapsed Time,Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current
142,1644866423.482545,24.024352312088013,102.88,23.6,22.75,22.5,29.75,82.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.08
143,1644866423.648334,24.136733531951904,101.07,23.61,22.25,23.25,31.5,82.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.08
144,1644866423.8215141,24.35942053794861,102.48,23.58,22.5,23.0,31.25,82.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.05
145,1644866423.9867766,24.459572553634644,101.18,23.57,22.25,23.0,31.0,82.25,-44.3847656,6.0546875,5.6640625,5.859375,90.0,100.0,0.08
146,1644866424.149452,24.660006284713745,101.91,23.62,22.5,22.5,31.0,83.0,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,-0.16
147,1644866424.32196,24.87938928604126,102.31,23.6,22.0,22.75,31.0,82.0,-44.3847656,6.3476562,5.7617187,5.859375,90.0,100.0,-0.05
148,1644866424.4874663,24.991844415664673,102.42,23.59,22.75,23.5,31.5,82.25,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.03
149,1644866424.65024,25.207669258117676,102.3,23.57,22.5,23.75,32.0,82.0,-44.3847656,6.3476562,5.7617187,5.859375,90.0,100.0,0.03
150,1644866424.8347878,25.323552131652832,101.71,23.57,22.5,23.5,31.75,82.5,-44.140625,6.4453125,5.7617187,5.859375,90.0,100.0,0.03
151,1644866425.0037513,25.543044328689575,101.52,23.6,22.25,22.5,31.5,82.25,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.03
152,1644866425.1639342,25.661452293395996,101.51,23.62,22.25,23.75,31.75,82.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.0
153,1644866425.340273,25.89298939704895,102.15,23.63,22.75,23.25,31.75,83.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,-0.05
154,1644866425.5045662,26.01210856437683,101.1,23.68,22.25,23.25,31.5,82.25,-44.3847656,6.3476562,5.7617187,5.859375,90.0,100.0,0.0
155,1644866425.670668,26.228097200393677,102.04,23.66,22.75,23.25,31.75,82.25,-44.140625,6.3476562,5.6640625,5.7617187,90.0,100.0,0.0
156,1644866425.84263,26.343860864639282,102.39,23.61,22.25,23.0,32.5,82.25,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.03
157,1644866426.0050256,26.56245493888855,101.78,23.6,22.5,23.75,32.0,82.25,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,-0.05
158,1644866426.1713197,26.66272234916687,101.71,23.59,22.0,23.5,31.75,82.25,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,-0.03
159,1644866426.336835,26.894264221191406,102.37,23.56,22.25,22.5,32.25,82.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.03
160,1644866426.5060573,26.9979727268219,102.2,23.64,22.75,23.75,32.5,82.75,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.05
161,1644866426.6875381,27.21371841430664,103.11,23.59,22.75,23.0,32.25,82.25,-44.3847656,6.3476562,5.6640625,5.859375,90.0,100.0,0.03
162,1644866426.8531306,27.326104402542114,100.97,23.63,22.75,23.5,31.75,82.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.08
163,1644866427.0223703,27.54553461074829,101.86,23.65,22.0,23.5,31.75,82.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.03
164,1644866427.191259,27.664443254470825,101.15,23.61,22.25,22.75,32.25,82.25,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.0
165,1644866427.3538575,27.895663022994995,100.96,23.58,22.25,23.5,32.5,82.25,-44.3847656,6.3476562,5.7617187,5.859375,90.0,100.0,0.03
166,1644866427.5227053,28.014113426208496,101.69,23.6,22.5,22.75,32.0,82.25,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.03
167,1644866427.6907682,28.23257040977478,101.6,23.62,22.5,23.0,32.25,82.25,-44.3847656,6.3476562,5.6640625,5.859375,90.0,100.0,-0.03
168,1644866427.854273,28.342955589294434,102.24,23.61,22.5,22.75,32.25,82.25,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.05
